start,end,duration,type
2024-09-18 16:59:00-04:00,2024-09-18 18:00:00-04:00,0 days 01:01:00,MISSING DATA
2024-09-19 16:59:00-04:00,2024-09-19 18:00:00-04:00,0 days 01:01:00,MISSING DATA
2024-09-20 11:59:00-04:00,2024-09-22 18:00:00-04:00,2 days 06:01:00,WEEKEND/HOLIDAY
2024-09-23 16:59:00-04:00,2024-09-23 18:00:00-04:00,0 days 01:01:00,MISSING DATA
2024-09-24 16:59:00-04:00,2024-09-24 18:00:00-04:00,0 days 01:01:00,MISSING DATA
2024-09-25 16:59:00-04:00,2024-09-25 18:00:00-04:00,0 days 01:01:00,MISSING DATA
2024-09-26 16:59:00-04:00,2024-09-26 18:00:00-04:00,0 days 01:01:00,MISSING DATA
2024-09-27 11:59:00-04:00,2024-09-29 18:00:00-04:00,2 days 06:01:00,WEEKEND/HOLIDAY
2024-09-30 16:59:00-04:00,2024-09-30 18:00:00-04:00,0 days 01:01:00,MISSING DATA
2024-10-01 16:59:00-04:00,2024-10-01 18:00:00-04:00,0 days 01:01:00,MISSING DATA
2024-10-02 16:59:00-04:00,2024-10-02 18:00:00-04:00,0 days 01:01:00,MISSING DATA
2024-10-03 16:59:00-04:00,2024-10-03 18:00:00-04:00,0 days 01:01:00,MISSING DATA
2024-10-04 11:59:00-04:00,2024-10-06 18:00:00-04:00,2 days 06:01:00,WEEKEND/HOLIDAY
2024-10-07 16:59:00-04:00,2024-10-07 18:00:00-04:00,0 days 01:01:00,MISSING DATA
2024-10-08 16:59:00-04:00,2024-10-08 18:00:00-04:00,0 days 01:01:00,MISSING DATA
2024-10-09 16:59:00-04:00,2024-10-09 18:00:00-04:00,0 days 01:01:00,MISSING DATA
2024-10-10 16:59:00-04:00,2024-10-10 18:00:00-04:00,0 days 01:01:00,MISSING DATA
2024-10-11 11:59:00-04:00,2024-10-13 18:00:00-04:00,2 days 06:01:00,WEEKEND/HOLIDAY
2024-10-14 16:59:00-04:00,2024-10-14 18:00:00-04:00,0 days 01:01:00,MISSING DATA
2024-10-15 16:59:00-04:00,2024-10-15 18:00:00-04:00,0 days 01:01:00,MISSING DATA
2024-10-16 16:59:00-04:00,2024-10-16 18:00:00-04:00,0 days 01:01:00,MISSING DATA
