entry_time,exit_time,pnl,reason
1702452060000,1702452060000,-0.858519894136407,SL Hit
1702455420000,1702455420000,-1.9943484220275423,SL Hit
1702455600000,1702455600000,-3.4858235347419395,SL Hit
1702455720000,1702455720000,-1.3961294846303645,SL Hit
1702456020000,1702456020000,-4.3539112403814215,SL Hit
1702456680000,1702456680000,-3.812246592657175,SL Hit
1702460760000,1702460760000,9.253710455246619,TP Hit
1702460880000,1702460880000,5.0,TP Hit
1702461660000,1702461660000,-1.9841135670867516,SL Hit
1702461780000,1702461780000,-0.978856923924468,SL Hit
1702461900000,1702461900000,-0.9184306347888196,SL Hit
1702462620000,1702462620000,-7.523514747459558,SL Hit
1702463100000,1702463100000,-1.1259734528430272,SL Hit
1702463220000,1702463220000,5.0,TP Hit
1702464360000,1702464360000,7.0031182003585855,TP Hit
1702465140000,1702465140000,5.0,TP Hit
1702470240000,1702470240000,8.702726790128509,TP Hit
1702470960000,1702470960000,-6.220598425163189,SL Hit
1702471440000,1702471440000,-1.7582834218628705,SL Hit
1702473900000,1702473900000,7.446587927654036,TP Hit
1702475700000,1702475700000,5.3592839324701345,TP Hit
1702475940000,1702475940000,-7.1038749606814235,SL Hit
1702476000000,1702476000000,-3.0186637349179364,SL Hit
1702476060000,1702476060000,-4.5619734681386035,SL Hit
1702476120000,1702476120000,-4.548618220418575,SL Hit
1702476660000,1702476660000,-2.7566803678055294,SL Hit
1702476780000,1702476780000,5.0,TP Hit
1702477200000,1702477200000,6.098872399685206,TP Hit
1702477320000,1702477320000,-7.599476471288654,SL Hit
1702477500000,1702477500000,-6.121237174716953,SL Hit
1702483260000,1702483260000,-12.268137739403755,SL Hit
1702483920000,1702483920000,-3.595379716010939,SL Hit
1702484220000,1702484220000,-5.540059852799459,SL Hit
1702484340000,1702484340000,-11.998546463772072,SL Hit
1702484520000,1702484520000,-6.096492621611105,SL Hit
1702485240000,1702485240000,-4.501314731955063,SL Hit
1702487340000,1702487340000,-2.934568278869847,SL Hit
1702487400000,1702487400000,5.824912517899065,TP Hit
1702488660000,1702488660000,-11.9365665261721,SL Hit
1702490520000,1702490520000,-3.656809339809115,SL Hit
1702490640000,1702490640000,-4.522297470612102,SL Hit
1702492800000,1702492800000,-5.050493336726504,SL Hit
1702492920000,1702492920000,-2.0637514069967438,SL Hit
1702493040000,1702493040000,-7.06812630649074,SL Hit
1702500600000,1702500600000,-31.68062221256696,SL Hit
1702519500000,1702519500000,5.0,TP Hit
1702520760000,1702520760000,-6.127556668114266,SL Hit
1702521000000,1702521000000,-2.2764639212255133,SL Hit
1702521540000,1702521540000,11.342021251213737,TP Hit
1702524060000,1702524060000,-1.4743928636889905,SL Hit
1702524120000,1702524120000,-1.4762219448602991,SL Hit
1702532100000,1702532100000,-1.6870930173245142,SL Hit
1702532520000,1702532520000,-4.875846796188853,SL Hit
1702532940000,1702532940000,-1.9790694900875678,SL Hit
1702533060000,1702533060000,-2.5489761915887357,SL Hit
1702533600000,1702533600000,-4.569142016371188,SL Hit
1702535400000,1702535400000,5.0,TP Hit
1702535520000,1702535520000,-1.4007061464653816,SL Hit
1702535580000,1702535580000,-1.4256557074331795,SL Hit
1702535640000,1702535640000,-0.8952517283323687,SL Hit
1702537440000,1702537440000,-1.747542319171771,SL Hit
1702554120000,1702554120000,-4.951013247024093,SL Hit
1702554420000,1702554420000,-2.0145534348193905,SL Hit
1702555140000,1702555140000,8.700761229643831,TP Hit
1702560540000,1702560540000,-4.187349388557777,SL Hit
1702561920000,1702561920000,-13.580155850089795,SL Hit
1702562400000,1702562400000,9.11525079596322,TP Hit
1702562460000,1702562460000,-8.750646579333988,SL Hit
1702562640000,1702562640000,-6.190608530137979,SL Hit
1702565100000,1702565100000,-14.367118659538392,SL Hit
1702565160000,1702565160000,-14.376610183855519,SL Hit
1702565700000,1702565700000,-24.970425433704804,SL Hit
1702567020000,1702567020000,-6.639271821091825,SL Hit
1702569360000,1702569360000,-9.05415806108067,SL Hit
1702569540000,1702569540000,-8.0,Flip to Short
1702569780000,1702569780000,42.361584151527495,TP Hit
1702571340000,1702571340000,-7.443832875163935,SL Hit
1702572240000,1702572240000,37.74550835332775,TP Hit
1702574280000,1702574280000,19.29498995724134,TP Hit
1702575600000,1702575600000,-6.253365197444509,SL Hit
1702580940000,1702580940000,-18.82503566806554,SL Hit
1702595820000,1702595820000,-3.9773654220916796,SL Hit
1702595940000,1702595940000,6.0323954727937235,TP Hit
1702600680000,1702600680000,5.0,TP Hit
1702603920000,1702603920000,-5.02410519663681,SL Hit
1702605780000,1702605780000,6.475884016777854,TP Hit
1702605900000,1702605900000,5.147662813498755,TP Hit
1702606020000,1702606020000,-2.6458026970212813,SL Hit
1702606500000,1702606500000,-3.1601564071243047,SL Hit
1702608960000,1702608960000,-4.00614205099555,SL Hit
1702611720000,1702611720000,-0.8280764595256187,SL Hit
1702615740000,1702615740000,-0.6008702413309948,SL Hit
1702615860000,1702615860000,-0.5952656672743615,SL Hit
1702616400000,1702616400000,5.0,TP Hit
1702616700000,1702616700000,-1.6243651525583118,SL Hit
1702616880000,1702616880000,5.0,TP Hit
1702617000000,1702617000000,-2.7765719558592536,SL Hit
1702617540000,1702617540000,4.0,Flip to Long
1702617600000,1702617600000,-0.801079266006127,SL Hit
1702617660000,1702617660000,-0.7974307470067288,SL Hit
1702618200000,1702618200000,-1.9995279646245763,SL Hit
1702619580000,1702619580000,-1.5125859904001118,SL Hit
1702619640000,1702619640000,-0.9938298482229584,SL Hit
1702623780000,1702623780000,-5.653433942403353,SL Hit
1702634160000,1702634160000,-5.1649462708010105,SL Hit
1702634400000,1702634400000,-1.1446150156261865,SL Hit
1702634820000,1702634820000,-1.630752702949394,SL Hit
1702635000000,1702635000000,-1.6698756152982241,SL Hit
1702635180000,1702635180000,3.0,Flip to Long
1702635360000,1702635360000,5.0,Flip to Short
1702635420000,1702635420000,-1.1560141212830786,SL Hit
1702635540000,1702635540000,-2.6931958494751598,SL Hit
1702635660000,1702635660000,9.465935149026336,TP Hit
1702636440000,1702636440000,-2.00882210162672,SL Hit
1702641240000,1702641240000,-1.6984386765252566,SL Hit
1702641420000,1702641420000,7.3077666972676525,TP Hit
1702641840000,1702641840000,-3.74311579852656,SL Hit
1702644540000,1702644540000,-5.2799525918089785,SL Hit
1702651800000,1702651800000,-19.34119143486896,SL Hit
1702651860000,1702651860000,-6.22753490381001,SL Hit
1702653840000,1702653840000,11.460770627119928,TP Hit
1702653900000,1702653900000,-13.847857791166462,SL Hit
1702655580000,1702655580000,-8.59964281716384,SL Hit
1702655820000,1702655820000,9.877222587732831,TP Hit
1702656420000,1702656420000,34.9217066886049,TP Hit
1702656720000,1702656720000,-6.319183729530778,SL Hit
1702657800000,1702657800000,-17.606081051417277,SL Hit
1702658100000,1702658100000,-9.755703236391128,SL Hit
1702658400000,1702658400000,19.222660467916285,TP Hit
1702858860000,1702858860000,-2.840116560786555,SL Hit
1702861620000,1702861620000,-5.050894408501335,SL Hit
1702861740000,1702861740000,-1.0555392946334905,SL Hit
1702862100000,1702862100000,-2.084111115014821,SL Hit
1702862880000,1702862880000,3.5,Flip to Short
1702863000000,1702863000000,6.3256761463562725,TP Hit
1702863180000,1702863180000,-3.7054573181958403,SL Hit
1702863660000,1702863660000,5.0,TP Hit
1702863960000,1702863960000,5.323598563132691,TP Hit
1702864020000,1702864020000,-4.0,Flip to Long
1702865520000,1702865520000,9.568562026368454,TP Hit
1702865700000,1702865700000,-0.786851542929071,SL Hit
1702870980000,1702870980000,5.0,TP Hit
1702872060000,1702872060000,5.0,TP Hit
1702873380000,1702873380000,-4.25542380331899,SL Hit
1702873440000,1702873440000,-3.2076230939419474,SL Hit
1702873980000,1702873980000,-0.7048746616419521,SL Hit
1702874100000,1702874100000,-1.699169328669086,SL Hit
1702874340000,1702874340000,-0.6634419211477507,SL Hit
1702874580000,1702874580000,-0.709905892777897,SL Hit
1702874640000,1702874640000,-0.7216983290054486,SL Hit
1702874940000,1702874940000,-1.1491966473622597,SL Hit
1702875000000,1702875000000,-2.1474683154083323,SL Hit
1702875120000,1702875120000,-0.6520262515477953,SL Hit
1702879500000,1702879500000,5.0,TP Hit
1702879980000,1702879980000,-2.20342696364969,SL Hit
1702880100000,1702880100000,-1.1836946778421407,SL Hit
1702880700000,1702880700000,5.0,TP Hit
1702884720000,1702884720000,5.0,TP Hit
1702886160000,1702886160000,-1.0236396946347668,SL Hit
1702886340000,1702886340000,6.02604514718405,TP Hit
1702888980000,1702888980000,9.147028319683159,TP Hit
1702889340000,1702889340000,-4.952828282024711,SL Hit
1702889520000,1702889520000,-4.375815865743789,SL Hit
1702891680000,1702891680000,-2.2418783230896224,SL Hit
1702891860000,1702891860000,7.189254136901582,TP Hit
1702892400000,1702892400000,-3.0006476815688075,SL Hit
1702893600000,1702893600000,-5.863823915395187,SL Hit
1702893960000,1702893960000,-3.759818328304391,SL Hit
1702894140000,1702894140000,-3.325599805866659,SL Hit
1702894380000,1702894380000,-2.1958542429929366,SL Hit
1702894920000,1702894920000,11.38423667398456,TP Hit
1702895640000,1702895640000,6.782604047592031,TP Hit
1702897020000,1702897020000,-1.6895765650915564,SL Hit
1702898640000,1702898640000,-1.9481225210765842,SL Hit
1702898760000,1702898760000,7.939370396285085,TP Hit
1702904220000,1702904220000,5.0,TP Hit
1702908180000,1702908180000,-4.900753056637768,SL Hit
1702908300000,1702908300000,7.833541390908067,TP Hit
1702911600000,1702911600000,-17.71111925400328,SL Hit
1702912440000,1702912440000,-6.16759467797965,SL Hit
1702915140000,1702915140000,-3.4318976737195044,SL Hit
1702915920000,1702915920000,14.778182718669996,TP Hit
1702919280000,1702919280000,-6.132728071905149,SL Hit
1702922400000,1702922400000,17.30175840857555,TP Hit
1702925700000,1702925700000,6.800708735434455,TP Hit
1702926300000,1702926300000,-2.7263356734983972,SL Hit
1702926360000,1702926360000,-2.2548116968173417,SL Hit
1702926480000,1702926480000,5.68431813022471,TP Hit
1702927140000,1702927140000,-4.343541083435412,SL Hit
1702927200000,1702927200000,-1.8457881489084684,SL Hit
1702929300000,1702929300000,6.540559889777796,TP Hit
1702945740000,1702945740000,5.0,TP Hit
1702946340000,1702946340000,-1.761961385338509,SL Hit
