exit_time,pnl,reason
1729090560000,-24.859646529315796,SL Hit
1729091700000,-7.179362329392461,SL Hit
1729094580000,-10.024250473506982,SL Hit (Same Bar)
1729101420000,-10.967326325633621,SL Hit (Same Bar)
1729102800000,-3.319468130983296,SL Hit (Same Bar)
1729106880000,-2.5504433753158082,SL Hit (Same Bar)
1729174380000,-10.747184319756343,SL Hit (Same Bar)
1729179000000,-11.587343126586347,SL Hit (Same Bar)
1729187400000,-6.665754933710559,SL Hit (Same Bar)
1729193040000,-14.462833191057143,SL Hit (Same Bar)
1729259340000,35.0,Reverse
1729259340000,-12.181927752790216,SL Hit (Same Bar)
1729263240000,-29.686825770862924,SL Hit
1729265280000,-23.225904246486607,SL Hit
1729266840000,-4.802462057501543,SL Hit (Same Bar)
1729528740000,-5.169718473101966,SL Hit (Same Bar)
1729534080000,-7.507596226816531,SL Hit (Same Bar)
1729536240000,-3.647369074373273,SL Hit (Same Bar)
1729537440000,-11.387610955753189,SL Hit (Same Bar)
1729539660000,-4.104777235384972,SL Hit (Same Bar)
1729608420000,-24.490472240817326,SL Hit
1729613340000,-10.366985640321218,SL Hit (Same Bar)
1729615620000,25.869442291732412,TP Hit
1729617840000,11.06826874690887,TP Hit
1729623240000,-2.843663779916824,SL Hit (Same Bar)
1729626300000,24.364376812052797,TP Hit
1729626360000,-4.111769394636212,SL Hit (Same Bar)
1729692120000,-18.317918603803264,SL Hit (Same Bar)
1729694880000,-10.500124086393043,SL Hit (Same Bar)
1729700100000,-9.735336822661338,SL Hit
1729711620000,-4.759489511707216,SL Hit (Same Bar)
1729779360000,-10.661685005448817,SL Hit (Same Bar)
1729780620000,19.45775429594505,TP Hit (Same Bar)
1729782300000,-22.91940943046211,SL Hit
1729786920000,52.39448410051409,TP Hit
1729787820000,-7.983258525571728,SL Hit (Same Bar)
1729790880000,-16.942230900778668,SL Hit
1729792800000,-6.817064303664665,SL Hit (Same Bar)
1729793760000,-3.0848301110527245,SL Hit (Same Bar)
1729866780000,-5.7451793692671345,SL Hit (Same Bar)
1729867740000,-8.314539748353127,SL Hit (Same Bar)
1729870740000,-18.00682719485485,SL Hit (Same Bar)
1730126220000,-18.34366323255381,SL Hit
1730128440000,-15.092371834587539,SL Hit (Same Bar)
1730132460000,64.98983734361536,TP Hit
1730132760000,8.697248574113473,TP Hit (Same Bar)
1730137980000,-2.530103812336165,SL Hit (Same Bar)
1730140140000,-12.209710124705452,SL Hit
1730143200000,10.65978887595702,TP Hit (Same Bar)
1730214000000,-22.368593047613103,SL Hit
1730216880000,11.541515780379996,TP Hit (Same Bar)
1730219460000,-13.07428239913861,SL Hit
1730220600000,-17.795033876587695,SL Hit (Same Bar)
1730224620000,14.887811162669095,TP Hit
1730301060000,-9.013062001591607,SL Hit (Same Bar)
1730302080000,-8.872628084551252,SL Hit (Same Bar)
1730305500000,13.628948474579374,TP Hit
1730308320000,-8.425454298128898,SL Hit (Same Bar)
1730311800000,-23.825313869092497,SL Hit
1730317800000,-15.886874347350386,SL Hit (Same Bar)
1730385840000,-33.77593047206028,SL Hit
1730389620000,-27.004449475069123,SL Hit
1730391180000,-27.164484513210482,SL Hit
1730394180000,-28.121950275708514,SL Hit
