mode,status,outcome,pnl,reason,structure_age,reclaim_depth,is_expansion,retest_count,active_level,exit_time
SAMPLING_MODE,DEAD,WIN,24.169810063496698,TP Hit,16,5.0,True,1,18300.75,1715632980000
SAMPLING_MODE,DEAD,LOSS,-4.767222830771061,SL Hit (Same Bar),16,0.5,True,1,18291.0,1715693460000
SAMPLING_MODE,DEAD,WIN,41.77512434881646,TP Hit,50,7.0,True,1,18327.0,1715697480000
SAMPLING_MODE,DEAD,LOSS,-3.689032809961645,SL Hit (Same Bar),22,0.25,True,1,18309.75,1715703840000
SAMPLING_MODE,DEAD,LOSS,-8.492257408892328,SL Hit,16,3.25,True,1,18415.25,1715714280000
SAMPLING_MODE,DEAD,LOSS,-6.899013894108066,SL Hit (Same Bar),21,2.25,True,1,18412.0,1715716020000
SAMPLING_MODE,DEAD,WIN,10.50107741181273,TP Hit (Same Bar),31,0.5,True,1,18431.25,1715716500000
SAMPLING_MODE,DEAD,LOSS,-37.42222684656736,SL Hit,18,16.25,True,1,18517.5,1715779920000
SAMPLING_MODE,DEAD,LOSS,-25.177302135365608,SL Hit,37,9.0,True,1,18493.25,1715780700000
SAMPLING_MODE,SURVIVOR,LOSS,-10.688092040007175,SL Hit,42,3.0,False,1,18531.75,1715782860000
SAMPLING_MODE,SURVIVOR,WIN,15.375028241905966,TP Hit (Same Bar),22,2.5,False,1,18604.5,1715788560000
SAMPLING_MODE,DEAD,LOSS,-10.920578435594509,SL Hit (Same Bar),22,3.5,True,1,18586.75,1715788920000
SAMPLING_MODE,SURVIVOR,LOSS,-4.719427191339491,SL Hit (Same Bar),16,1.0,False,1,18603.75,1715790420000
SAMPLING_MODE,DEAD,WIN,10.861410019293544,TP Hit,17,1.25,True,1,18690.25,1715800440000
SAMPLING_MODE,DEAD,LOSS,-18.5515077788732,SL Hit,35,7.25,True,1,18680.25,1715803260000
SAMPLING_MODE,DEAD,LOSS,-3.0030798134830547,SL Hit (Same Bar),29,-0.25,True,1,18691.0,1715866860000
SAMPLING_MODE,SURVIVOR,LOSS,-3.1229046863518306,SL Hit (Same Bar),24,-0.25,False,1,18716.5,1715869440000
SAMPLING_MODE,DEAD,LOSS,-5.964763082440186,SL Hit (Same Bar),25,1.25,True,1,18726.75,1715875440000
SAMPLING_MODE,DEAD,WIN,25.5,Reverse,29,7.0,True,1,18710.25,1715878140000
SAMPLING_MODE,SURVIVOR,WIN,8.175912457605591,TP Hit,20,0.5,False,1,18730.25,1715878260000
SAMPLING_MODE,DEAD,LOSS,-15.579433774844802,SL Hit,22,5.75,True,1,18679.25,1715883240000
SAMPLING_MODE,SURVIVOR,LOSS,-2.719740352105873,SL Hit (Same Bar),21,-0.25,False,1,18701.0,1715886240000
SAMPLING_MODE,DEAD,LOSS,-3.387895069186925,SL Hit (Same Bar),33,0.5,True,1,18683.75,1715887860000
SAMPLING_MODE,SURVIVOR,LOSS,-7.198163078057405,SL Hit,21,1.25,False,1,18653.5,1715955960000
SAMPLING_MODE,DEAD,LOSS,-6.156349310949736,SL Hit (Same Bar),22,1.25,True,1,18657.25,1715958060000
SAMPLING_MODE,DEAD,WIN,21.54617066206993,TP Hit,46,3.25,True,1,18628.25,1715961180000
SAMPLING_MODE,DEAD,WIN,46.2870860259427,TP Hit,37,10.0,True,1,18643.25,1716211980000
SAMPLING_MODE,SURVIVOR,LOSS,-3.186361808257061,SL Hit (Same Bar),20,0.25,False,1,18757.5,1716216120000
SAMPLING_MODE,DEAD,LOSS,-2.817226256091089,SL Hit (Same Bar),22,0.0,True,1,18744.0,1716217320000
SAMPLING_MODE,DEAD,LOSS,-3.363481909931579,SL Hit (Same Bar),16,0.25,True,1,18735.25,1716218160000
SAMPLING_MODE,DEAD,LOSS,-3.905857101599395,SL Hit (Same Bar),21,0.5,True,1,18748.5,1716218700000
SAMPLING_MODE,DEAD,LOSS,-6.025486023885605,SL Hit (Same Bar),35,1.75,True,1,18768.25,1716225900000
SAMPLING_MODE,DEAD,WIN,12.453202582488302,TP Hit (Same Bar),28,0.75,True,1,18735.0,1716228720000
SAMPLING_MODE,DEAD,LOSS,-10.519935145392084,SL Hit,26,3.75,False,1,18749.0,1716229740000
SAMPLING_MODE,SURVIVOR,LOSS,-10.479088489882995,SL Hit,25,4.0,False,1,18767.5,1716232440000
SAMPLING_MODE,DEAD,LOSS,-12.9305732159919,SL Hit,52,5.25,True,1,18743.5,1716234900000
SAMPLING_MODE,SURVIVOR,WIN,16.240719587993226,TP Hit,18,2.5,False,1,18740.25,1716237300000
SAMPLING_MODE,DEAD,WIN,24.34298588524689,TP Hit,32,4.0,True,1,18697.75,1716298500000
SAMPLING_MODE,DEAD,LOSS,-7.840931600956537,SL Hit (Same Bar),17,1.5,True,1,18714.0,1716299580000
SAMPLING_MODE,DEAD,LOSS,-5.154769979213597,SL Hit,25,1.0,True,1,18758.5,1716303840000
SAMPLING_MODE,DEAD,LOSS,-4.236937035646406,SL Hit (Same Bar),19,1.0,True,1,18761.5,1716305040000
SAMPLING_MODE,DEAD,LOSS,-9.574251974830986,SL Hit (Same Bar),22,3.5,True,1,18745.25,1716305820000
SAMPLING_MODE,SURVIVOR,LOSS,-3.0026620166099747,SL Hit (Same Bar),20,0.25,False,1,18756.5,1716312540000
SAMPLING_MODE,SURVIVOR,LOSS,-6.196486115528387,SL Hit,36,1.75,False,1,18761.25,1716315960000
SAMPLING_MODE,DEAD,WIN,5.0,TP Hit (Same Bar),20,0.0,True,1,18768.25,1716317580000
SAMPLING_MODE,SURVIVOR,LOSS,-5.762764717321261,SL Hit,17,1.5,False,1,18786.0,1716320100000
SAMPLING_MODE,DEAD,LOSS,-9.6779585784534,SL Hit,25,3.25,True,1,18797.75,1716321960000
SAMPLING_MODE,DEAD,LOSS,-4.676881366183807,SL Hit (Same Bar),27,1.0,True,1,18812.75,1716384720000
SAMPLING_MODE,DEAD,WIN,32.751071882099495,TP Hit,31,6.25,True,1,18792.75,1716385500000
SAMPLING_MODE,DEAD,LOSS,-22.238837468787096,SL Hit,20,9.25,True,1,18826.5,1716386400000
SAMPLING_MODE,DEAD,WIN,30.0,Reverse,21,12.25,True,1,18802.75,1716390600000
SAMPLING_MODE,DEAD,LOSS,-2.421748938351812,SL Hit (Same Bar),53,0.0,True,1,18830.0,1716390600000
SAMPLING_MODE,DEAD,LOSS,-5.6806248471039,SL Hit,35,1.75,True,1,18827.75,1716392880000
SAMPLING_MODE,DEAD,LOSS,-4.061149259199738,SL Hit (Same Bar),28,0.75,True,1,18813.75,1716395520000
SAMPLING_MODE,DEAD,LOSS,-4.825590379237838,SL Hit (Same Bar),31,1.0,True,1,18821.25,1716398160000
SAMPLING_MODE,DEAD,LOSS,-10.246683601690163,SL Hit (Same Bar),18,2.25,True,1,18703.25,1716402120000
SAMPLING_MODE,DEAD,WIN,27.377761591778835,TP Hit,25,4.5,True,1,18715.0,1716405840000
SAMPLING_MODE,DEAD,WIN,26.950324521545557,TP Hit,88,4.5,True,1,18760.0,1716407040000
SAMPLING_MODE,DEAD,WIN,32.51337220716232,TP Hit,24,4.5,True,1,18914.0,1716475380000
SAMPLING_MODE,DEAD,WIN,29.090382259644684,TP Hit,45,4.0,True,1,18857.5,1716476940000
SAMPLING_MODE,SURVIVOR,LOSS,-28.065053237129177,SL Hit,17,11.25,False,1,18897.25,1716478200000
SAMPLING_MODE,DEAD,LOSS,-5.50744866898458,SL Hit (Same Bar),16,-0.25,True,1,18825.25,1716484860000
SAMPLING_MODE,SURVIVOR,LOSS,-23.96698639938404,SL Hit,19,9.0,False,1,18661.75,1716492720000
SAMPLING_MODE,DEAD,LOSS,-10.12993020167778,SL Hit (Same Bar),35,3.25,True,1,18742.0,1716557460000
SAMPLING_MODE,DEAD,LOSS,-11.497569463936088,SL Hit (Same Bar),33,2.75,True,1,18768.5,1716557760000
SAMPLING_MODE,DEAD,WIN,16.615746578361723,TP Hit (Same Bar),24,1.0,True,1,18733.25,1716558900000
SAMPLING_MODE,DEAD,LOSS,-9.35024738674838,SL Hit,18,2.5,True,1,18840.75,1716562320000
SAMPLING_MODE,DEAD,LOSS,-2.56079433515697,SL Hit (Same Bar),19,1.0,True,1,18885.75,1716820620000
SAMPLING_MODE,DEAD,LOSS,-2.012619411383639,SL Hit (Same Bar),43,0.25,True,1,18941.5,1716827760000
